"co_ocupacao","ds_ocupacao","co_cbo","tp_escolaridade","st_restricao_idade"
1149,"RECEPCIONISTA,EM GERAL","422105","4","18"
1150,"RECEPCIONISTA DE CONSULTORIO MEDICO OU DENTARIO","422110","4","18"
1151,"RECEPCIONISTA DE SEGURO SAUDE","422115","4","18"
1152,"RECEPCIONISTA DE HOTEL","422120","5","18"
1153,"RECEPCIONISTA DE BANCO","422125","4","18"
1154,"TELEFONISTA","422205","4","18"
1155,"TELEOPERADOR","422210","4","18"
1156,"MONITOR DE TELEATENDIMENTO","422215","4","18"
1157,"OPERADOR DE RADIO-CHAMADA","422220","4","18"
1158,"OPERADOR DE TELEMARKETING ATIVO","422305","4","18"
1159,"OPERADOR DE TELEMARKETING ATIVO E RECEPTIVO","422310","4","18"
1160,"OPERADOR DE TELEMARKETING RECEPTIVO","422315","4","18"
1161,"OPERADOR DE TELEMARKETING TECNICO","422320","4","18"
1162,"DESPACHANTE DOCUMENTALISTA","423105","4","18"
1164,"ENTREVISTADOR DE PESQUISA DE OPINIAO E MIDIA","424110","4","18"
1165,"ENTREVISTADOR DE PESQUISAS DE MERCADO","424115","4","18"
1166,"ENTREVISTADOR DE PRECOS","424120","4","18"
1167,"ESCRITURARIO EM ESTATISTICA","424125","4","18"
1168,"SUPERVISOR DE TRANSPORTES","510105","3","16"
1169,"ADMINISTRADOR DE EDIFICIOS","510110","3","16"
1170,"SUPERVISOR DE ANDAR","510115","3","16"
1171,"CHEFE DE PORTARIA DE HOTEL","510120","3","16"
1172,"CHEFE DE COZINHA","510125","3","16"
1173,"CHEFE DE BAR","510130","3","16"
1174,"MAITRE","510135","3","16"
1175,"SUPERVISOR DE LAVANDERIA","510205","3","16"
1176,"SUPERVISOR DE BOMBEIROS","510305","4","18"
1177,"SUPERVISOR DE VIGILANTES","510310","4","18"
1178,"COMISSARIO DE VOO","511105","4","18"
1179,"COMISSARIO DE TREM","511110","4","18"
1180,"TAIFEIRO","511115","3","16"
1181,"FISCAL DE TRANSPORTES COLETIVOS (EXCETO TREM)","511205","3","16"
1182,"DESPACHANTE DE TRANSPORTES COLETIVOS (EXCETO TREM)","511210","3","16"
1183,"COBRADOR DE TRANSPORTES COLETIVOS (EXCETO TREM)","511215","3","16"
1185,"GUIA DE TURISMO","511405","4","14"
1186,"EMPREGADO DOMESTICO NOS SERVICOS GERAIS","512105","3","10"
1187,"EMPREGADO DOMESTICO ARRUMADOR","512110","3","10"
1188,"EMPREGADO DOMESTICO FAXINEIRO","512115","3","10"
1189,"EMPREGADO DOMESTICO DIARISTA","512120","3","10"
1190,"MORDOMO DE RESIDENCIA","513105","4","16"
1191,"MORDOMO DE HOTELARIA","513110","4","18"
1192,"GOVERNANTA DE HOTELARIA","513115","4","16"
1193,"COZINHEIRO GERAL","513205","3","10"
1194,"COZINHEIRO DO SERVICO DOMESTICO","513210","3","10"
1195,"COZINHEIRO INDUSTRIAL","513215","3","10"
1196,"COZINHEIRO DE HOSPITAL","513220","3","10"
1197,"COZINHEIRO DE EMBARCACOES","513225","2","16"
1198,"CAMAREIRA DE TEATRO","513305","3","10"
1199,"CAMAREIRA DE TELEVISAO","513310","3","10"
1200,"CAMAREIRO DE HOTEL","513315","3","10"
1201,"CAMAREIRO DE EMBARCACOES","513320","3","10"
1203,"GARCOM","513405","2","16"
1204,"GARCOM (SERVICOS DE VINHOS)","513410","2","16"
1205,"CUMIM","513415","2","16"
1206,"BARMAN","513420","2","18"
1207,"COPEIRO","513425","2","16"
1209,"ATENDENTE DE LANCHONETE","513435","2","16"
1210,"ASCENSORISTA","514105","3","18"
1211,"GARAGISTA","514110","3","18"
1212,"SACRISTAO","514115","3","10"
1213,"ZELADOR DE EDIFICIO","514120","3","16"
1214,"COLETOR DE LIXO","514205","3","16"
1215,"FAXINEIRO","514210","3","16"
1216,"GARI","514215","3","16"
